AL,,Tirana,4,258764,512795,scripts.scp,S512795/,,0,,,0,,0,28800,0,iPass Inc.||5500|1|,0,,,,,,0,2,MODEM,1171517,0x4,,,,,,
AM,,Yerevan,1,542 384,508656,scripts.scp,S508656/,,0,,,0,,0,28800,0,iPass Inc.||238|1|,0,0,,,,,0,3,MODEM,369527,0x4,,,,,,
AN,,Curacao,9,869 3201,102420,scripts.scp,S102420/,,0,,,0,,0,28800,0,iPass Inc.||239|1|,0,0,,,9/681437,,0,3,MODEM,372253,0x4,,,,,,
AN,,St. Maarten,5,45 3172,526953,scripts.scp,S526953/,,0,,,0,,0,28800,0,iPass Inc.||239|1|,0,,,,,,0,1,MODEM,372253,0x4,,,,,,
AR,,Cordoba,351,4246654,102125,scripts.scp,S102125/,,0,,,0,,0,28800,0,iPass Inc.||241|1|,0,0,,,349/0849,,0,11,MODEM,374979,0x4,,,,,,
AR,,La Plata,221,4240856,106964,scripts.scp,S106964/,,0,,,0,,0,28800,0,iPass Inc.||241|1|,0,0,,,,,0,11,MODEM,374979,0x4,,,,,,
AR,,Mar del Plata,223,4959579,106965,scripts.scp,S106965/,,0,,,0,,0,28800,0,iPass Inc.||241|1|,0,0,,,,,0,5,MODEM,374979,0x4,,,,,,
AR,,Mendoza,261,4297411,108762,scripts.scp,S108762/,,0,,,0,,0,28800,0,iPass Inc.||241|1|,0,0,,,,,0,10,MODEM,374979,0x4,,,,,,
AR,,Neuquen,299,443 1553,505394,scripts.scp,S505394/,,0,,,0,,0,9600,0,iPass Inc.||241|1|,0,0,,,,,0,4,MODEM,374979,0x4,,,,,,
AR,,Rosario,341,449 8853,102126,scripts.scp,S102126/,,0,,,0,,0,28800,0,iPass Inc.||241|1|,0,0,,,349/0849,,0,10,MODEM,374979,0x4,,,,,,
AR,,Salta,387,432 0880,505395,scripts.scp,S505395/,,0,,,0,,0,9600,0,iPass Inc.||241|1|,0,0,,,,,0,2,MODEM,374979,0x4,,,,,,
AR,,Tucuman,381,421 3935,505396,scripts.scp,S505396/,,0,,,0,,0,28800,0,iPass Inc.||241|1|,0,0,,,,,0,3,MODEM,374979,0x4,,,,,,
AZ,,Baku,12,4934 546,589184,scripts.scp,S589184/,,0,,,0,,0,28800,0,iPass Inc.||246|1|,0,0,,,9412/989405,,0,4,MODEM,1248069,0x4,,,,,,
BA,,Sarajevo,33,214 209,526927,scripts.scp,S526927/,,0,,,0,,0,28800,0,iPass Inc.||581|1|,0,,,,,,0,2,MODEM,923213,0x4,,,,,,
BD,,Dhaka,2,956 7723,104697,scripts.scp,S104697/,,0,,,0,,0,28800,0,iPass Inc.||248|1|,0,0,,,,,0,4,MODEM,2762758,0x4,,,,,,
BE,,Antwerp,3,231 7615,102148,scripts.scp,S102148/,,0,,,0,,0,28800,0,iPass Inc.||249|1|,0,0,,,2/7450101,,0,4,MODEM,385883,0x4,,,,,,
BE,,Bruges,50,32 1404,104413,scripts.scp,S104413/,,0,,,0,,0,28800,0,iPass Inc.||249|1|,0,0,,,,,0,1,MODEM,385883,0x4,,,,,,
BE,,Charleroi,71,30 6702,102151,scripts.scp,S102151/,,0,,,0,,0,28800,0,iPass Inc.||249|1|,0,0,,,2/7450101,,0,4,MODEM,385883,0x4,,,,,,
BE,,Ghent,9,234 2990,113511,scripts.scp,S113511/,,0,,,0,,0,28800,0,iPass Inc.||249|1|,0,0,,,,,0,4,MODEM,385883,0x4,,,,,,
BE,,Hasselt,11,87 4255,102153,scripts.scp,S102153/,,0,,,0,,0,28800,0,iPass Inc.||249|1|,0,0,,,2/7450101,,0,1,MODEM,385883,0x4,,,,,,
BE,,Kortrijk,56,21 4850,102154,scripts.scp,S102154/,,0,,,0,,0,28800,0,iPass Inc.||249|1|,0,0,,,2/7450101,,0,4,MODEM,385883,0x4,,,,,,
BE,,Liege,4,221 3593,104414,scripts.scp,S104414/,,0,,,0,,0,28800,0,iPass Inc.||249|1|,0,0,,,,,0,4,MODEM,385883,0x4,,,,,,
BF,,Ouagadougou,,50 31 24 34,102175,scripts.scp,S102175/,,0,,,0,,0,28800,0,iPass Inc.||250|1|,0,0,,,30 60 24,,0,3,MODEM,388609,0x4,,,,,,
BG,,Bourgas,56,80 0501,108765,scripts.scp,S108765/,,0,,,0,,0,28800,0,iPass Inc.||251|1|,0,0,,,,,0,2,MODEM,1250795,0x4,,,,,,
BG,,Sofia,2,960 1555,225206,scripts.scp,S225206/,,0,,,0,,0,28800,0,iPass Inc.||251|1|,0,0,,,,,0,5,MODEM,1250795,0x4,,,,,,
BG,,Varna,52,50 0702,102174,scripts.scp,S102174/,,0,,,0,,0,28800,0,iPass Inc.||251|1|,0,0,,,2/9808565,,0,2,MODEM,1250795,0x4,,,,,,
BH,,Manama,,8000 1515,583144,scripts.scp,S583144/,,0,,,0,,0,28800,0,iPass Inc.||252|1|,0,,,,,,0,1,MODEM,391335,0x4,,,,,,
BO,,Cochabamba,4,450 2088,505405,scripts.scp,S505405/,,0,,,0,,0,28800,0,iPass Inc.||257|1|,0,0,,,,,0,1,MODEM,1253521,0x4,,,,,,
BO,,La Paz,2,240 7112,525339,scripts.scp,S525339/,,0,,,0,,0,28800,0,iPass Inc.||257|1|,0,,,,,,0,3,MODEM,1253521,0x4,,,,,,
BO,,Santa Cruz,3,332 2422,108764,scripts.scp,S108764/,,0,,,0,,0,28800,0,iPass Inc.||257|1|,0,0,,,,,0,1,MODEM,1253521,0x4,,,,,,
BR,,Belem,91,230 0900,200506,scripts.scp,S200506/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,0,,,,,0,6,MODEM,399513,0x4,,,,,,
BR,,Belo Horizonte,31,32813020,546144,scripts.scp,S546144/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,,,,,,0,9,MODEM,399513,0x4,,,,,,
BR,,Brasilia,61,3285840,546145,scripts.scp,S546145/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,,,,,,0,8,MODEM,399513,0x4,,,,,,
BR,,Campinas,19,3237 1377,512800,scripts.scp,S512800/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,,,,,,0,5,MODEM,399513,0x4,,,,,,
BR,,Curitiba,41,310 0120,526865,scripts.scp,S526865/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,,,,,,0,8,MODEM,399513,0x4,,,,,,
BR,,Fortaleza,85,3264 3699,200508,scripts.scp,S200508/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,0,,,,,0,9,MODEM,399513,0x4,,,,,,
BR,,Maceio,82,241 9944,517478,scripts.scp,S517478/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,,,,,,0,8,MODEM,399513,0x4,,,,,,
BR,,Porto Alegre,51,3212 4999,102163,scripts.scp,S102163/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,0,,,21/2334746,,0,9,MODEM,399513,0x4,,,,,,
BR,,Recife,81,3421 6262,512801,scripts.scp,S512801/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,,,,,,0,9,MODEM,399513,0x4,,,,,,
BR,,Rio de Janeiro,21,25148949,505404,scripts.scp,S505404/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,0,,,,,0,10,MODEM,399513,0x4,,,,,,
BR,,Salvador,71,3582777,200510,scripts.scp,S200510/,,0,,,0,,0,28800,0,iPass Inc.||258|1|,0,0,,,,,0,9,MODEM,399513,0x4,,,,,,
BS,,Nassau,242,323 7594,579780,scripts.scp,S579780/,,0,,,0,,0,28800,0,iPass Inc.||259|1|,0,,,,,,0,2,MODEM,402239,0x4,,,,,,
BW,,Gaborone,,3906742,102160,scripts.scp,S102160/,,0,,,0,,0,28800,0,iPass Inc.||261|1|,0,0,,,300876,,0,1,MODEM,2708184,0x4,,,,,,
CG,,Brazzaville,,810039,526943,scripts.scp,S526943/,,0,,,0,,0,28800,0,iPass Inc.||267|1|,0,,,,,,0,1,MODEM,410417,0x4,,,,,,
CG,,Pointe Noire,,947210,102219,scripts.scp,S102219/,,0,,,0,,0,28800,0,iPass Inc.||267|1|,0,0,,,94/1725,,0,1,MODEM,410417,0x4,,,,,,
CI,,Abidjan,,20 32 88 55,102221,scripts.scp,S102221/,,0,,,0,,0,28800,0,iPass Inc.||269|1|,0,0,,,323765,,0,5,MODEM,1930157,0x4,,,,,,
CL,,Antofagasta,55,220 700,503810,scripts.scp,S503810/,,0,,,0,,0,28800,0,iPass Inc.||270|1|,0,0,,,,,0,5,MODEM,413143,0x4,,,,,,
CL,,Concepcion,41,239 514,102201,scripts.scp,S102201/,,0,,,0,,0,28800,0,iPass Inc.||270|1|,0,0,,,2/672 6332,,0,4,MODEM,413143,0x4,,,,,,
CL,,Iquique,57,423 619,102202,scripts.scp,S102202/,,0,,,0,,0,28800,0,iPass Inc.||270|1|,0,0,,,2/672 6332,,0,3,MODEM,413143,0x4,,,,,,
CL,,La Serena,51,218 721,200516,scripts.scp,S200516/,,0,,,0,,0,28800,0,iPass Inc.||270|1|,0,0,,,,,0,5,MODEM,413143,0x4,,,,,,
CL,,Punta Arenas,61,229 393,505406,scripts.scp,S505406/,,0,,,0,,0,28800,0,iPass Inc.||270|1|,0,0,,,,,0,3,MODEM,413143,0x4,,,,,,
CL,,Santiago,2,697 3081,102204,scripts.scp,S102204/,,0,,,0,,0,28800,0,iPass Inc.||270|1|,0,0,,,2/672 6332,,0,10,MODEM,413143,0x4,,,,,,
CM,,Douala,,3424291,536202,scripts.scp,S536202/,,0,,,0,,0,28800,0,iPass Inc.||271|1|,0,,,,,,0,1,MODEM,887775,0x4,,,,,,
CM,,Yaounde,,2235652,536203,scripts.scp,S536203/,,0,,,0,,0,28800,0,iPass Inc.||271|1|,0,,,,,,0,1,MODEM,887775,0x4,,,,,,
CO,,Barranquilla,5,360 4448,200517,scripts.scp,S200517/,,0,,,0,,0,28800,0,iPass Inc.||273|1|,0,0,,,,,0,8,MODEM,418595,0x4,,,,,,
CO,,Bucaramanga,7,632 9244,526930,scripts.scp,S526930/,,0,,,0,,0,28800,0,iPass Inc.||273|1|,0,,,,,,0,11,MODEM,418595,0x4,,,,,,
CO,,Cali,2,885 8377,113523,scripts.scp,S113523/,,0,,,0,,0,28800,0,iPass Inc.||273|1|,0,0,,,,,0,10,MODEM,418595,0x4,,,,,,
CO,,Cartagena,5,665 9190,526931,scripts.scp,S526931/,,0,,,0,,0,28800,0,iPass Inc.||273|1|,0,,,,,,0,2,MODEM,418595,0x4,,,,,,
CO,,Medellin,4,321 2100,512806,scripts.scp,S512806/,,0,,,0,,0,28800,0,iPass Inc.||273|1|,0,,,,,,0,11,MODEM,418595,0x4,,,,,,
CO,,Pereira,6,333 0330,505397,scripts.scp,S505397/,,0,,,0,,0,28800,0,iPass Inc.||273|1|,0,0,,,,,0,4,MODEM,418595,0x4,,,,,,
CR,,San Jose,,287 0800,104431,scripts.scp,S104431/,,0,,,0,,0,28800,0,iPass Inc.||274|1|,0,0,,,,,0,1,MODEM,1258973,0x4,,,,,,
CS,,Belgrade,11,311 5255,102495,scripts.scp,S102495/,,0,,,0,,0,28800,0,iPass Inc.||415|1|,0,0,,,11/2351210,,0,10,MODEM,614881,0x4,,,,,,
CS,,Nis,18,52 3095,503808,scripts.scp,S503808/,,0,,,0,,0,9600,0,iPass Inc.||415|1|,0,0,,,,,0,3,MODEM,614881,0x4,,,,,,
CS,,Novi Sad,21,42 1681,505392,scripts.scp,S505392/,,0,,,0,,0,9600,0,iPass Inc.||415|1|,0,0,,,,,0,3,MODEM,614881,0x4,,,,,,
CS,,Podgorica,81,24 6822,505391,scripts.scp,S505391/,,0,,,0,,0,9600,0,iPass Inc.||415|1|,0,0,,,,,0,1,MODEM,614881,0x4,,,,,,
CV,,Praia,,2612023,595985,scripts.scp,S102199/,,0,,,0,,0,28800,0,iPass Inc.||276|1|,0,0,,,615797,,0,1,MODEM,1932883,0x4,,,,,,
CY,,Larnaca,,24643 063,102227,scripts.scp,S102227/,,0,,,0,,0,28800,0,iPass Inc.||277|1|,0,0,,,2/442066,,0,3,MODEM,424047,0x4,,,,,,
CY,,Limassol,,25346 589,200518,scripts.scp,S200518/,,0,,,0,,0,28800,0,iPass Inc.||277|1|,0,0,,,,,0,3,MODEM,424047,0x4,,,,,,
CY,,Nicosia,,22712 121,510072,scripts.scp,S510072/,,0,,,0,,0,28800,0,iPass Inc.||277|1|,0,,,,,,0,3,MODEM,424047,0x4,,,,,,
CY,,Paphos,,26221 885,200519,scripts.scp,S200519/,,0,,,0,,0,28800,0,iPass Inc.||277|1|,0,0,,,,,0,3,MODEM,424047,0x4,,,,,,
CZ,,Brno,,541 248 090,113526,scripts.scp,S113526/,,0,,,0,,0,28800,0,iPass Inc.||278|1|,0,0,,,,,0,2,MODEM,1261699,0x4,,,,,,
CZ,,Ceske Budejovice,,386 358 291,200520,scripts.scp,S200520/,,0,,,0,,0,9600,0,iPass Inc.||278|1|,0,0,,,,,0,2,MODEM,1261699,0x4,,,,,,
CZ,,Hradec Kralove,,495 212 903,546146,scripts.scp,S546146/,,0,,,0,,0,9600,0,iPass Inc.||278|1|,0,,,,,,0,2,MODEM,1261699,0x4,,,,,,
CZ,,Liberec,,485 109 416,200521,scripts.scp,S200521/,,0,,,0,,0,28800,0,iPass Inc.||278|1|,0,0,,,,,0,2,MODEM,1261699,0x4,,,,,,
CZ,,Olomouc,,585 243 656,200522,scripts.scp,S200522/,,0,,,0,,0,28800,0,iPass Inc.||278|1|,0,0,,,,,0,2,MODEM,1261699,0x4,,,,,,
CZ,,Ostrava,,596 127 480,200523,scripts.scp,S200523/,,0,,,0,,0,28800,0,iPass Inc.||278|1|,0,0,,,,,0,2,MODEM,1261699,0x4,,,,,,
CZ,,Plzen,,377 456 995,200524,scripts.scp,S200524/,,0,,,0,,0,9600,0,iPass Inc.||278|1|,0,0,,,,,0,2,MODEM,1261699,0x4,,,,,,
CZ,,Prague,,222 101 010,226543,scripts.scp,S226543/,,0,,,0,,0,28800,0,iPass Inc.||278|1|,,0,,,,,0,2,MODEM,1261699,0x4,,,,,,
DK,,Copenhagen,,36 44 22 46,102236,scripts.scp,S102236/,,0,,,0,,0,28800,0,iPass Inc.||281|1|,0,0,,,36/198666,,0,3,MODEM,2484330,0x4,,,,,,
DZ,,Algiers,,2164 5460,561244,scripts.scp,S561244/,,0,,,0,,0,33600,0,iPass Inc.||283|1|,0,,,,,,0,3,MODEM,429499,0x4,,,,,,
EC,,Ambato,3,2424830,512809,scripts.scp,S512809/,,0,,,0,,0,9600,0,iPass Inc.||284|1|,0,,,,,,0,1,MODEM,1264425,0x4,,,,,,
EC,,Cuenca,7,2836044,512810,scripts.scp,S512810/,,0,,,0,,0,28800,0,iPass Inc.||284|1|,0,,,,,,0,1,MODEM,1264425,0x4,,,,,,
EC,,Guayaquil,4,251 1000,102238,scripts.scp,S102238/,,0,,,0,,0,28800,0,iPass Inc.||284|1|,0,0,,,2/553709,,0,2,MODEM,1264425,0x4,,,,,,
EC,,Manta,5,2629142,512811,scripts.scp,S512811/,,0,,,0,,0,9600,0,iPass Inc.||284|1|,0,,,,,,0,1,MODEM,1264425,0x4,,,,,,
EC,,Quito,2,290 0340,514496,scripts.scp,S514496/,,0,,,0,,0,28800,0,iPass Inc.||284|1|,0,,,,,,0,4,MODEM,1264425,0x4,,,,,,
EE,,Tallinn,,6410730,104415,scripts.scp,S104415/,,0,,,0,,0,28800,0,iPass Inc.||285|1|,0,0,,,,,0,3,MODEM,432225,0x4,,,,,,
EG,,Alexandria,3,488 1900,526859,scripts.scp,S526859/,,0,,,0,,0,28800,0,iPass Inc.||286|1|,0,,,,,,0,3,MODEM,893227,0x4,,,,,,
EG,,Cairo,2,456 0100,104438,scripts.scp,S104438/,,0,,,0,,0,28800,0,iPass Inc.||286|1|,0,0,,,,,0,4,MODEM,893227,0x4,,,,,,
EG,,Hurghada,65,344 5044,587508,scripts.scp,S587508/,,0,,,0,,0,9600,0,iPass Inc.||286|1|,0,0,,,,,0,3,MODEM,893227,0x4,,,,,,
EG,,Luxor,95,237 9800,587509,scripts.scp,S587509/,,0,,,0,,0,9600,0,iPass Inc.||286|1|,0,0,,,,,0,2,MODEM,893227,0x4,,,,,,
ER,,Asmara,1,127466,104440,scripts.scp,S104440/,,0,,,0,,0,28800,0,iPass Inc.||287|1|,0,0,,,,,0,1,MODEM,434951,0x4,,,,,,
GF,,Cayenne,594,358588,104449,scripts.scp,S104449/,,0,,,0,,0,28800,0,iPass Inc.||295|1|,0,0,,,,,0,1,MODEM,448581,0x4,,,,,,
GH,,Accra,21,233643,102301,scripts.scp,S102301/,,0,,,0,,0,28800,0,iPass Inc.||296|1|,0,0,,,21/662217,,0,2,MODEM,1269877,0x4,,,,,,
GI,,Gibraltar,,51893,102302,scripts.scp,S102302/,,0,,,0,,0,28800,0,iPass Inc.||297|1|,0,0,,,72065,,0,1,MODEM,451307,0x4,,,,,,
GN,,Conakry,,435547,546147,scripts.scp,S546147/,,0,,,0,,0,28800,0,iPass Inc.||299|1|,0,,,,,,0,1,MODEM,454033,0x4,,,,,,
GP,,Pointe a Pitre,,590213279,546148,scripts.scp,S546148/,,0,,,0,,0,28800,0,iPass Inc.||300|1|,0,,,,,,0,1,MODEM,456759,0x4,,,,,,
GR,,Athens,21,0969 6700,512825,scripts.scp,S512825/,,0,,,0,,0,28800,0,iPass Inc.||302|1|,0,,,,,,0,2,MODEM,3355157,0x4,,,,,,
GR,,Heraklion,281,032 4495,102305,scripts.scp,S102305/,,0,,,0,,0,28800,0,iPass Inc.||302|1|,0,0,,,1/9651984,,0,2,MODEM,3355157,0x4,,,,,,
GR,,Patras,261,027 0074,108853,scripts.scp,S108853/,,0,,,0,,0,28800,0,iPass Inc.||302|1|,0,0,,,,,0,2,MODEM,3355157,0x4,,,,,,
GR,,Rhodes,2241,039 875,102309,scripts.scp,S102309/,,0,,,0,,0,28800,0,iPass Inc.||302|1|,0,0,,,1/9651984,,0,2,MODEM,3355157,0x4,,,,,,
GR,,Thessaloniki,231,024 2043,102310,scripts.scp,S102310/,,0,,,0,,0,28800,0,iPass Inc.||302|1|,0,0,,,1/9651984,,0,2,MODEM,3355157,0x4,,,,,,
GT,,Guatemala City,,2367 4177,586561,scripts.scp,S586561/,,0,,,0,,0,28800,0,iPass Inc.||303|1|,0,,,,,,0,4,MODEM,459485,0x4,,,,,,
GU,,Guam,,477 6871,526879,scripts.scp,S526879/,,0,,,0,,0,28800,0,iPass Inc.||304|1|,0,,,,,,0,1,MODEM,462211,0x4,,,,,,
HN,,San Pedro Sula,,5579905,526937,scripts.scp,S526937/,,0,,,0,,0,28800,0,iPass Inc.||308|1|,0,,,,,,0,4,MODEM,467663,0x4,,,,,,
HN,,Tegucigalpa,,237 4362,104462,scripts.scp,S104462/,,0,,,0,,0,28800,0,iPass Inc.||308|1|,0,0,,,,,0,3,MODEM,467663,0x4,,,,,,
HR,,Zagreb,1,632 6600,523559,scripts.scp,S523559/,,0,,,0,,0,28800,0,iPass Inc.||309|1|,0,,,,,,0,1,MODEM,1998307,0x4,,,,,,
HT,,Port au Prince,,223 7489,226545,scripts.scp,S226545/,,0,,,0,,0,28800,0,iPass Inc.||310|1|,,0,,,,,0,1,MODEM,2710910,0x4,,,,,,
HU,,Budapest,1,429 8235,102319,scripts.scp,S102319/,,0,,,0,,0,28800,0,iPass Inc.||311|1|,0,0,,,1/266 9004,,0,4,MODEM,1946513,0x4,,,,,,
HU,,Gyor,96,318 644,512828,scripts.scp,S512828/,,0,,,0,,0,28800,0,iPass Inc.||311|1|,0,,,,,,0,3,MODEM,1946513,0x4,,,,,,
HU,,Miskolc,46,411 466,517480,scripts.scp,S517480/,,0,,,0,,0,28800,0,iPass Inc.||311|1|,0,,,,,,0,3,MODEM,1946513,0x4,,,,,,
ID,,Denpasar Bali,361,766 952,102333,scripts.scp,S102333/,,0,,,0,,0,28800,0,iPass Inc.||312|1|,0,0,,,21/3459304,,0,1,MODEM,1278055,0x4,,,,,,
ID,,Jakarta,21,386 4550,108854,scripts.scp,S108854/,,0,,,0,,0,28800,0,iPass Inc.||312|1|,0,0,,,,,0,8,MODEM,1278055,0x4,,,,,,
IL,,Tel Aviv,3,972 1922,102341,scripts.scp,S102341/,,0,,,0,,0,28800,0,iPass Inc.||314|1|,0,0,,,3/9712320,,0,3,MODEM,473115,0x4,,,,,,
IS,,Reykjavik,,551 1666,102320,scripts.scp,S102320/,,0,,,0,,0,28800,0,iPass Inc.||317|1|,0,0,,,181/572 7900,,0,1,MODEM,2724540,0x4,,,,,,
JM,,Kingston,876,922 2398,586592,scripts.scp,S586592/,,0,,,0,,0,28800,0,iPass Inc.||319|1|,0,0,,,,,0,3,MODEM,481293,0x4,,,,,,
JO,,Amman,6,5606241,108774,scripts.scp,S108774/,,0,,,0,,0,28800,0,iPass Inc.||320|1|,0,0,,,,,0,2,MODEM,1949239,0x4,,,,,,
JP,101,Tokyo,3,5498 6711,591646,scripts.scp,S591646/,,0,,,0,,0,28800,0,iPass Inc.||201|1|,0,0,,,3/3346 9265,,0,8,MODEM,2478878,0x4,,,,,,
JP,74,Narita,476,32 7850,104482,scripts.scp,S104482/,,0,,,0,,0,28800,0,iPass Inc.||201|1|,0,0,,,,,0,3,MODEM,2478878,0x4,,,,,,
JP,77,Fukuoka,92,282 7031,102364,scripts.scp,S102364/,,0,,,0,,0,28800,0,iPass Inc.||57|1|,0,0,,,3/3346 9265,,0,3,MODEM,95793,0x4,,,,,,
JP,90,Sendai,22,291 9961,104481,scripts.scp,S104481/,,0,,,0,,0,28800,0,iPass Inc.||119|1|,0,0,,,,,0,3,MODEM,202583,0x4,,,,,,
JP,94,Okinawa,98,861 2844,104477,scripts.scp,S104477/,,0,,,0,,0,28800,0,iPass Inc.||176|1|,0,0,,,,,0,1,MODEM,281959,0x4,,,,,,
JP,95,Osaka,724,567122,104478,scripts.scp,S104478/,,0,,,0,,0,28800,0,iPass Inc.||177|1|,0,0,,,,,0,9,MODEM,3330567,0x4,,,,,,
KE,,Mombasa,11,222 040,104484,scripts.scp,S104484/,,0,,,0,,0,28800,0,iPass Inc.||322|1|,0,0,,,,,0,2,MODEM,2487056,0x4,,,,,,
KG,,Bishkek,312,54 3895,533499,scripts.scp,S533499/,,0,,,0,,0,28800,0,iPass Inc.||323|1|,0,,,,,,0,1,MODEM,2266127,0x4,,,,,,
KH,,Phnom Penh,23,723 562,104428,scripts.scp,S104428/,,0,,,0,,0,28800,0,iPass Inc.||324|1|,0,0,,,23/427622,,0,2,MODEM,486745,0x4,,,,,,
